SubjectCode;Name;Credits
CBA101;AMBIENTE Y EDUCACIÓN EN VALORES;1
CBA102;ECOLOGÍA BÁSICA;1
CBA103;FUNDAMENTO DE GESTIÓN AMBIENTAL;1
CBA104;GESTIÓN DE CONTAMINANTES;1
CBA105;SER HUMANO Y MEDIO AMBIENTE;1
CBA106;AMBIENTE Y CULTURA;1
CBA201;MANEJO SUSTENTABLE DE RECURSOS NATURALES;1
CBA202;IMPACTO SOCIAL (CBA);1
CBA203;RESTAURACIÓN ECOLÓGICA;1
CBA204;COMUNICACIÓN AMBIENTAL Y MEDIOS DIGITALES;1
CBB201;BIOLOGIA I;1
CBB202;BIOLOGIA II;1
CBF208;FISICA PARA LA VIDA I;1
CBF209;FISICA PARA LA VIDA II;1
CBF210;FISICA MECANICA I;1
CBF210L;LABORATORIO DE FISICA MECANICA I;1
CBF211;FISICA MECANICA II;1
CBF211L;LABORATORIO DE FISICA MECANICA II;1
CBF212;FISICA ELECTRICA Y MAGNETICA;1
CBF212L;LABORATORIO DE FISICA ELECTRICA Y MAGNETICA;1
CBF213;FISICA ELECTROMAGNETICA Y OPTICA;1
CBF213L;LABORATORIO DE FISICA ELECTROMAGNETICA Y OPTICA;1
CBF216;FISICA GENERAL I;1
CBM101;ALGEBRA Y GEOMETRIA ANALITICA;1
CBM102;CALCULO DIFERENCIAL;1
CBM105;CALCULO DIFERENCIAL PARA NEGOCIOS;1
CBM200;CALCULO INTEGRAL PARA NEGOCIOS;1
CBM201;CALCULO INTEGRAL;1
CBM202;CALCULO VECTORIAL;1
CBM203;ECUACIONES DIFERENCIALES;1
CBM204;ESTADISTICA DESCRIPTIVA;1
CBM205;ANALISIS ESTADISTICO;1
CBM206;PROBABILIDAD Y ESTADISTICA;1
CBM208;ALGEBRA LINEAL;1
CBM211;BIOESTADISTICA II;1
CBM215;ECUACIONES DIFERENCIALES Y EN DIFERENCIA;1
CBM216;PROGRAMACION LINEAL;1
CBM217;METODO MATEMATICO I PARA BIOLOGOS Y QUIMICOS;1
CBM218;METODO MATEMATICO II PARA BIOLOGOS Y QUIMICOS;1
CBM220;ESTADISTICA APLICADA A LA INGENIERIA;1
CBM223;INTRODUCCION A LA ESTADISTICA;1
CBM232;BIOESTADISTICA I;1
CBM233;BIOESTADISTICA II;1
CBM302;INFERENCIA ESTADISTICA;1
CBM305;MATEMATICA DISCRETA I;1
CBM306;MATEMATICA DISCRETA II;1
CBM307;ANALISIS NUMERICO;1
CBM307L;LABORATORIO DE ANALISIS NUMERICO;1
CBM311;METODOS MATEMATICOS PARA INGENIEROS;1
CBM313;ESTADISTICA NO PARAMETRICA;1
CBM317;ANALISIS MATEMATICO II;1
CBM318;ANALISIS DE REGRESION;1
CBM322;DEMOGRAFIA;1
CBM324;ANALISIS MATEMATICO IV;1
CBM327;MATEMATICAS ACTUARIALES DEL SEGURO DE DAÑOS;1
CBM329;SEGURIDAD SOCIAL Y PENSIONES PRIVADAS;1
CBM330;TEORIA DEL RIESGO;1
CBM331;PASANTIA;1
CBM337;INTRODUCCION A LA MATEMATICA ACTUARIAL;1
CBN101;SER HUMANO Y NATURALEZA;1
CBQ201;QUIMICA I;1
CBQ202;QUIMICA II;1
CBQ204;QUIMICA ORGANICA I;1
CBQ205;QUIMICA ORGANICA II;1
CBQ207;QUIMICA I;1
CBQ207L;LABORATORIO DE QUIMICA I;1
CBQ208;QUIMICA II;1
CBQ208L;LABORATORIO DE QUIMICA II;1
CBQ212;QUIMICA AMBIENTAL;1
CBQ212L;LABORATORIO DE QUIMICA AMBIENTAL;1
CSH301;DIDACTICA DE LA FISICA I;1
CSH305;DIDACTICA DE LA MATEMATICA I;1
CSH306;DIDACTICA DE LA MATEMATICA II;1
DCA601;METODOLOGIA DE LA INVESTIGACION/DISEÑO DE TESIS I;1
DCA602;METODOS AVANZADOS PARA LA REALIZACION DE ESTUDIOS DE BIODIVERSIDAD Y BIOSEGURIDAD EN ECOSISTEMAS;1
DCA607;EVALUACION COMPRENSIVA;1
DCA608;PRESENTACION PROYECTO DE TESIS;1
DCA611;SEGUNDO TALLER DE RESULTADOS 01;1
DGD607;EXAMEN COMPRENSIVO;1
DGD608;PROYECTO DE TESIS DE AREA;1
DGD609;MINIMO DE CIENCIA Y TECNOLOGIA PROBLEMAS SOCIALES Y AMBIENTALES;1
DGD610;MINIMO DE IDIOMA EXTRANJERO;1
DGD626;DEFENSA DE TESIS;1
LBE301;ZOOLOGIA I;1
LBE302;BOTANICA I;1
LBE306;BIOLOGIA MOLECULAR Y CELULAR;1
LBE310;BIOESTADISTICA;1
LBE311;HISTOLOGIA GENERAL;1
LBE316;BIOLOGIA DEL DESARROLLO;1
LBE318;CONSERVACION DE RECURSOS NATURALES;1
LBQ201;QUÍMICA FISICA I;1
LBQ202;QUÍMICA FÍSICA II;1
LBQ304;QUÍMICA ORGÁNICA AVANZADA;1
LBQ305;BIOFÍSICA PARA BIOQUÍMICOS;1
LBQ315;METODOLOGÍA DE LA INVESTIGACIÓN EN BIOQUÍMICA;1
LBT201;BIOLOGIA CELULAR Y MOLECULAR;1
LBT202;BOTANICA;1
LBT302;FISIOLOGIA ANIMAL;1
LBT303;INGENIERIA GENETICA;1
