SubjectId;StudentId;GradeID;Grade;CreateDate;ModDate
850;1111386;0000;0;2022-10-09;2022-10-09
5;1110656;0000;0;2022-10-09;2022-10-09
532;1110483;0000;0;2022-10-09;2022-10-09
97;1112027;0000;0;2022-10-09;2022-10-09
527;1110550;0000;0;2022-10-09;2022-10-09
71;1111353;0000;0;2022-10-09;2022-10-09
502;1112169;0000;0;2022-10-09;2022-10-09
972;1111400;0000;0;2022-10-09;2022-10-09
886;1110827;0000;0;2022-10-09;2022-10-09
979;1111415;0000;0;2022-10-09;2022-10-09
525;1111953;0000;0;2022-10-09;2022-10-09
723;1111987;0000;0;2022-10-09;2022-10-09
859;1112198;0000;0;2022-10-09;2022-10-09
1030;1110955;0000;0;2022-10-09;2022-10-09
688;1110525;0000;0;2022-10-09;2022-10-09
463;1110802;0000;0;2022-10-09;2022-10-09
585;1112024;0000;0;2022-10-09;2022-10-09
758;1111943;0000;0;2022-10-09;2022-10-09
106;1111471;0000;0;2022-10-09;2022-10-09
438;1111157;0000;0;2022-10-09;2022-10-09
1048;1111563;0000;0;2022-10-09;2022-10-09
252;1110841;0000;0;2022-10-09;2022-10-09
635;1112060;0000;0;2022-10-09;2022-10-09
1010;1111453;0000;0;2022-10-09;2022-10-09
353;1111276;0000;0;2022-10-09;2022-10-09
262;1111311;0000;0;2022-10-09;2022-10-09
372;1111200;0000;0;2022-10-09;2022-10-09
658;1111077;0000;0;2022-10-09;2022-10-09
829;1111641;0000;0;2022-10-09;2022-10-09
153;1112093;0000;0;2022-10-09;2022-10-09
313;1110409;0000;0;2022-10-09;2022-10-09
383;1111464;0000;0;2022-10-09;2022-10-09
516;1111120;0000;0;2022-10-09;2022-10-09
438;1112092;0000;0;2022-10-09;2022-10-09
162;1110853;0000;0;2022-10-09;2022-10-09
543;1111315;0000;0;2022-10-09;2022-10-09
599;1110517;0000;0;2022-10-09;2022-10-09
841;1111656;0000;0;2022-10-09;2022-10-09
69;1111589;0000;0;2022-10-09;2022-10-09
201;1110703;0000;0;2022-10-09;2022-10-09
722;1110671;0000;0;2022-10-09;2022-10-09
924;1110649;0000;0;2022-10-09;2022-10-09
701;1111324;0000;0;2022-10-09;2022-10-09
1000;1112138;0000;0;2022-10-09;2022-10-09
1014;1111573;0000;0;2022-10-09;2022-10-09
108;1110459;0000;0;2022-10-09;2022-10-09
828;1111703;0000;0;2022-10-09;2022-10-09
79;1111021;0000;0;2022-10-09;2022-10-09
